ID,perc_class_composts
ENV617F210001,5%
ENV617F210002,30%
ENV617F210003,20
ENV617F210004,30
ENV617F210005,75%
ENV617F210006,20%
ENV617F210007,30
ENV617F210008,30
ENV617F210009,15%
ENV617F210010,8
ENV617F210011,15
ENV617F210012,30%
ENV617F210013,30%
ENV617F210014,10%
ENV617F210015,20
ENV617F210016,20%
ENV617F210017,30%
ENV617F210018,30%
ENV617F210019,60%
ENV617F210020,50
ENV617F210021,25
ENV617F210022,5
ENV617F210023,25
ENV617F210024,28%
ENV617F210025,40
ENV617F210026,10
ENV617F210027,45
ENV617F210028,30%
ENV617F210029,45%
ENV617F210030,50
ENV617F210031,70%