Timestamp,Your task is simple. Please tell us which pizza piece you prefer. Check the box below:
12/7/2021 17:24:04,Small Box Pizza (Left side of table)
12/7/2021 17:24:06,Small Box Pizza (Left side of table)
12/7/2021 17:33:06,Large Box Pizza (Right side of table)
12/7/2021 17:33:36,Small Box Pizza (Left side of table)
12/7/2021 17:33:55,Large Box Pizza (Right side of table)
12/7/2021 17:34:11,Small Box Pizza (Left side of table)
12/7/2021 18:08:07,Small Box Pizza (Left side of table)
12/7/2021 19:06:43,Large Box Pizza (Right side of table)
12/7/2021 19:08:54,Small Box Pizza (Left side of table)
12/7/2021 19:16:08,Small Box Pizza (Left side of table)
12/7/2021 19:38:49,Small Box Pizza (Left side of table)
12/7/2021 20:13:49,Large Box Pizza (Right side of table)
12/7/2021 21:35:46,Large Box Pizza (Right side of table)
12/7/2021 21:36:00,Small Box Pizza (Left side of table)
12/7/2021 22:14:55,Small Box Pizza (Left side of table)
12/8/2021 6:35:08,Small Box Pizza (Left side of table)