state,yield
Oregon, 239.1713747645951
Washington, 225.98870056497174
Arizona, 200.09416195856872
Idaho, 198.21092278719397
New Mexico, 194.91525423728814
Illinois, 191.1487758945386
Minnesota, 191.61958568738228
California, 186.44067796610167
Indiana,185.9698682
Arkansas, 183.61581920903953
Kentucky, 182.67419962335217
Louisiana, 179.84934086629002
Nebraska, 180.3201506591337
Georgia, 179.84934086629002
Mississippi, 179.3785310734463
Iowa, 177.02448210922788
Wisconsin, 172.78719397363463
Missouri, 171.37476459510356
Ohio, 170.4331450094162
Tennessee, 169.96233521657248
South Dakota, 161.01694915254237
Delaware, 159.1337099811676
Alabama, 157.25047080979283
New York, 156.77966101694915
New Jersey, 154.89642184557437
Maryland, 154.89642184557437
Michigan, 153.4839924670433
Utah, 148.7758945386064
West Virginia, 142.1845574387947
North Dakota, 138.41807909604518
Florida, 137.9472693032015
Pennsylvania, 137.4764595103578
Oklahoma, 134.18079096045196
Kansas, 133.2391713747646
South Carolina, 130.41431261770245
Texas, 126.64783427495291
Virginia, 121.4689265536723
Wyoming, 120.52730696798493
Colorado , 115.34839924670432
North Carollina,111
Montana,105